<platter, cylinder, sector, number of requested sectors>
135) <3, 18, 17, 8>
136) <0, 11, 14, 16>
137) <0, 15, 12, 20>
138) <2, 19, 9, 15>
139) <3, 16, 0, 14>
140) <3, 13, 18, 7>
141) <2, 9, 16, 18>
142) <2, 10, 9, 18>
143) <1, 9, 17, 19>
144) <1, 8, 13, 19>
145) <1, 12, 9, 4>
146) <3, 3, 17, 15>
147) <3, 4, 0, 20>
148) <2, 13, 5, 9>
149) <2, 8, 17, 2>
150) <1, 8, 10, 20>
151) <1, 14, 9, 4>
152) <2, 19, 13, 8>
153) <3, 12, 2, 11>
154) <0, 16, 17, 16>
155) <1, 7, 14, 12>
156) <3, 1, 11, 2>
157) <1, 15, 14, 11>
158) <2, 0, 1, 17>
159) <0, 2, 11, 20>
160) <0, 4, 18, 1>
161) <2, 21, 10, 3>
162) <0, 4, 17, 6>
163) <0, 4, 16, 4>
164) <3, 9, 17, 5>
165) <3, 11, 7, 11>
166) <0, 10, 18, 6>
167) <3, 24, 4, 12>
168) <1, 9, 11, 16>
169) <3, 14, 9, 9>
170) <1, 18, 5, 3>
171) <2, 7, 17, 11>
172) <1, 24, 6, 14>
173) <2, 3, 3, 15>
174) <2, 13, 19, 18>
175) <2, 0, 8, 20>
176) <2, 7, 14, 18>
177) <2, 10, 17, 12>
178) <1, 18, 13, 9>
179) <1, 16, 10, 19>
180) <1, 11, 3, 16>
181) <2, 8, 10, 5>
182) <3, 11, 13, 6>
183) <1, 23, 4, 12>
184) <1, 0, 8, 4>
185) <1, 6, 15, 20>
186) <1, 20, 7, 7>
187) <3, 2, 16, 2>
188) <1, 10, 16, 16>
189) <2, 18, 11, 3>
190) <0, 21, 19, 2>
191) <2, 9, 12, 8>
192) <2, 15, 3, 13>
193) <2, 5, 3, 8>
194) <2, 5, 13, 15>
195) <3, 22, 7, 5>
196) <2, 10, 12, 5>
197) <2, 18, 18, 7>
198) <0, 3, 19, 3>
199) <2, 8, 1, 9>
200) <3, 24, 12, 3>
201) <2, 10, 1, 18>
202) <1, 22, 11, 17>
203) <1, 18, 1, 4>
204) <1, 8, 7, 20>
205) <0, 6, 17, 1>
206) <0, 8, 14, 19>
207) <3, 1, 18, 16>
208) <0, 21, 9, 20>
209) <2, 10, 16, 5>
210) <1, 14, 0, 19>
211) <1, 3, 1, 15>
212) <2, 14, 6, 8>
213) <3, 23, 7, 12>
214) <0, 22, 1, 16>
215) <2, 4, 10, 15>
216) <2, 6, 13, 18>
217) <2, 6, 1, 4>
218) <0, 8, 2, 2>
219) <3, 15, 16, 6>
220) <0, 22, 12, 12>
221) <1, 7, 14, 2>
222) <2, 15, 17, 9>
223) <3, 24, 2, 18>
224) <3, 1, 14, 18>
225) <1, 12, 12, 3>
226) <1, 16, 3, 1>
227) <2, 11, 5, 7>
228) <1, 5, 10, 4>
229) <2, 1, 16, 1>
230) <0, 0, 8, 20>
231) <1, 15, 16, 1>
232) <2, 18, 17, 9>
233) <2, 21, 10, 16>
234) <0, 0, 15, 11>
235) <1, 3, 8, 3>
236) <3, 0, 17, 18>
237) <3, 1, 9, 12>
238) <3, 24, 10, 9>
239) <3, 23, 8, 11>
240) <1, 2, 10, 17>
241) <3, 2, 11, 8>
242) <1, 24, 17, 7>
243) <0, 17, 1, 16>
244) <0, 23, 4, 16>
245) <0, 5, 6, 9>
246) <2, 3, 8, 14>
247) <2, 22, 15, 13>
248) <2, 20, 0, 6>
249) <1, 8, 12, 8>
250) <2, 21, 13, 15>
251) <3, 9, 1, 20>
252) <1, 7, 14, 2>
253) <2, 22, 1, 17>
254) <0, 0, 2, 3>
255) <3, 17, 14, 14>
256) <3, 6, 11, 5>
257) <2, 13, 11, 13>
258) <1, 12, 19, 9>
259) <3, 5, 7, 17>
260) <2, 16, 10, 13>
261) <1, 11, 9, 18>
262) <1, 8, 11, 13>
263) <0, 6, 18, 8>
264) <0, 14, 12, 15>
265) <0, 0, 19, 2>
266) <0, 13, 9, 17>
267) <2, 6, 4, 1>
268) <1, 14, 5, 15>
269) <2, 11, 3, 20>
270) <1, 10, 12, 2>
271) <1, 15, 9, 10>
272) <3, 23, 4, 16>
273) <0, 20, 17, 14>
274) <1, 23, 9, 16>
275) <3, 18, 8, 17>
276) <0, 8, 3, 7>
277) <3, 8, 17, 1>
278) <1, 6, 1, 11>
279) <3, 0, 0, 15>
280) <3, 14, 2, 5>
281) <3, 19, 9, 5>
282) <1, 13, 11, 17>
283) <3, 19, 13, 4>
284) <0, 6, 1, 16>
285) <2, 11, 7, 13>
286) <0, 4, 2, 9>
287) <3, 2, 14, 8>
288) <2, 16, 3, 18>
289) <3, 22, 13, 18>
290) <2, 0, 13, 18>
291) <0, 18, 1, 14>
292) <2, 24, 0, 14>
293) <1, 23, 5, 11>
294) <1, 9, 18, 1>
295) <2, 24, 19, 1>
296) <1, 2, 10, 1>
297) <2, 8, 9, 1>
298) <0, 23, 18, 18>
299) <1, 6, 10, 1>
300) <1, 15, 13, 12>
301) <2, 20, 1, 8>
302) <1, 21, 0, 4>
303) <3, 24, 4, 9>
304) <2, 11, 9, 13>
305) <1, 10, 13, 11>
306) <1, 13, 7, 20>
307) <2, 24, 19, 12>
308) <3, 14, 2, 11>
309) <2, 15, 9, 16>
310) <2, 6, 11, 15>
311) <1, 12, 2, 8>
312) <1, 18, 19, 3>
313) <2, 19, 4, 20>
314) <3, 13, 18, 14>
315) <0, 19, 5, 5>
316) <1, 24, 14, 20>
317) <3, 10, 7, 14>
318) <1, 0, 7, 3>
319) <1, 12, 9, 11>
320) <1, 10, 4, 12>
321) <1, 4, 3, 17>
322) <0, 21, 2, 6>
323) <3, 4, 1, 9>
324) <2, 22, 0, 6>
325) <2, 12, 19, 12>
326) <1, 11, 13, 7>
327) <0, 19, 16, 7>
328) <3, 17, 17, 5>
329) <1, 20, 0, 7>
330) <2, 4, 3, 18>
331) <1, 9, 17, 13>
332) <3, 17, 9, 6>
333) <0, 8, 9, 6>
334) <3, 22, 11, 16>
335) <1, 9, 1, 17>
336) <0, 21, 0, 6>
337) <3, 22, 11, 10>
338) <3, 16, 18, 13>
339) <2, 21, 4, 14>
340) <1, 11, 19, 11>
341) <2, 18, 15, 2>
342) <2, 14, 17, 4>
343) <2, 15, 19, 3>
344) <1, 6, 8, 18>
345) <0, 21, 6, 4>
346) <2, 0, 15, 1>
347) <1, 22, 6, 15>
348) <2, 0, 16, 13>
349) <1, 22, 6, 20>
350) <3, 8, 3, 2>
351) <1, 17, 16, 20>
352) <2, 19, 16, 11>
353) <3, 19, 13, 18>
354) <3, 10, 10, 13>
355) <0, 1, 19, 11>
356) <1, 10, 15, 19>
357) <3, 16, 17, 11>
358) <0, 15, 4, 2>
359) <3, 0, 12, 10>
360) <0, 15, 19, 4>
361) <3, 4, 13, 7>
362) <0, 23, 11, 10>
363) <3, 5, 19, 5>
364) <1, 11, 2, 6>
365) <3, 16, 7, 8>
366) <0, 6, 1, 20>
367) <3, 3, 8, 8>
368) <2, 19, 3, 2>
369) <3, 18, 7, 20>
370) <3, 13, 8, 15>
371) <0, 5, 18, 7>
372) <2, 2, 3, 19>
373) <3, 10, 5, 20>
374) <2, 16, 18, 6>
375) <0, 3, 13, 7>
376) <1, 23, 7, 13>
377) <0, 11, 12, 20>
378) <1, 0, 13, 18>
379) <0, 3, 15, 12>
380) <3, 23, 9, 15>
381) <1, 6, 14, 4>
382) <1, 9, 8, 18>
383) <3, 8, 15, 1>
384) <1, 14, 5, 18>
385) <0, 22, 8, 10>
386) <1, 13, 19, 15>
387) <0, 14, 5, 16>
388) <1, 11, 10, 7>
389) <0, 16, 9, 10>
390) <0, 9, 6, 16>
391) <3, 8, 8, 17>
392) <3, 13, 6, 1>
393) <2, 11, 9, 4>
394) <0, 8, 17, 17>
395) <3, 7, 4, 1>
396) <0, 1, 18, 6>
397) <2, 24, 14, 7>
398) <0, 3, 2, 4>
399) <2, 17, 12, 15>
400) <3, 10, 14, 10>
401) <0, 15, 4, 17>
402) <0, 7, 5, 12>
403) <0, 11, 3, 18>
404) <3, 11, 2, 2>
405) <0, 13, 19, 1>
406) <1, 18, 4, 9>
407) <3, 8, 2, 3>
408) <2, 21, 3, 7>
409) <3, 0, 15, 8>
410) <2, 7, 10, 11>
411) <1, 8, 19, 1>
412) <2, 18, 13, 15>
413) <2, 19, 15, 4>
414) <2, 1, 11, 14>
415) <3, 15, 8, 2>
416) <1, 8, 19, 18>
417) <3, 14, 4, 10>
418) <2, 7, 12, 12>
419) <0, 11, 3, 8>
420) <1, 11, 13, 20>
421) <1, 20, 14, 12>
422) <3, 18, 16, 15>
423) <3, 14, 7, 18>
424) <0, 17, 14, 16>
425) <1, 15, 17, 13>
426) <1, 4, 3, 11>
427) <0, 22, 9, 10>
428) <3, 22, 0, 9>
429) <3, 5, 19, 7>
430) <1, 11, 13, 1>
431) <0, 20, 17, 5>
432) <3, 8, 0, 2>
433) <2, 22, 5, 8>
434) <2, 3, 9, 11>
435) <3, 23, 0, 4>
436) <1, 10, 3, 17>
437) <3, 23, 2, 13>
438) <3, 10, 13, 4>
439) <0, 12, 8, 16>
440) <2, 10, 8, 17>
441) <1, 23, 3, 8>
442) <2, 23, 17, 2>
443) <3, 4, 16, 5>
444) <2, 5, 12, 10>
445) <3, 22, 14, 7>
446) <2, 9, 1, 3>
447) <1, 1, 18, 12>
448) <1, 8, 19, 3>
449) <0, 5, 1, 11>
450) <0, 21, 3, 4>
451) <0, 20, 0, 3>
452) <0, 12, 4, 8>
453) <3, 8, 5, 15>
454) <1, 8, 16, 11>
455) <0, 1, 14, 14>
456) <1, 15, 8, 2>
457) <0, 9, 3, 1>
458) <0, 11, 4, 14>
459) <2, 6, 7, 11>
460) <0, 6, 9, 9>
461) <1, 21, 14, 19>
462) <1, 10, 1, 6>
463) <1, 17, 10, 7>
464) <0, 13, 19, 6>
465) <0, 12, 17, 13>
466) <0, 11, 17, 8>
467) <1, 22, 9, 19>
468) <0, 14, 18, 11>
469) <1, 17, 0, 3>
470) <2, 8, 7, 4>
471) <0, 0, 1, 6>
472) <0, 20, 10, 1>
473) <2, 22, 5, 4>
474) <1, 19, 2, 11>
475) <3, 13, 0, 1>
476) <2, 13, 2, 13>
477) <2, 22, 14, 6>
478) <0, 19, 0, 9>
479) <0, 2, 5, 5>
480) <2, 12, 5, 18>
481) <3, 2, 12, 9>
482) <0, 11, 10, 1>
483) <1, 1, 12, 17>
484) <1, 4, 8, 13>
485) <0, 7, 17, 9>
486) <0, 12, 17, 1>
487) <3, 19, 5, 15>
488) <2, 7, 3, 10>
489) <0, 15, 17, 5>
490) <1, 24, 4, 15>
491) <2, 11, 10, 13>
492) <2, 8, 4, 4>
493) <1, 21, 11, 10>
494) <2, 10, 10, 3>
495) <3, 22, 16, 10>
496) <1, 14, 18, 18>
497) <2, 0, 1, 12>
498) <2, 3, 5, 18>
499) <2, 1, 9, 2>
500) <2, 8, 16, 8>
501) <2, 24, 17, 17>
502) <0, 14, 10, 8>
503) <2, 11, 8, 8>
504) <1, 16, 16, 16>
505) <1, 12, 6, 20>
506) <3, 12, 16, 15>
507) <0, 17, 15, 15>
508) <2, 6, 2, 9>
509) <2, 1, 5, 3>
510) <2, 22, 1, 17>
511) <2, 19, 15, 4>
512) <3, 6, 11, 1>
513) <0, 22, 0, 9>
514) <1, 21, 14, 2>
515) <2, 19, 8, 17>
516) <0, 7, 5, 3>
517) <1, 2, 17, 4>
518) <1, 15, 11, 16>
519) <0, 21, 19, 8>
520) <1, 2, 8, 10>
521) <3, 3, 9, 14>
522) <0, 13, 6, 11>
523) <0, 19, 19, 17>
524) <0, 9, 11, 10>
525) <2, 0, 4, 20>
526) <2, 10, 15, 11>
527) <1, 1, 10, 3>
528) <0, 3, 4, 20>
529) <2, 3, 4, 15>
530) <1, 11, 17, 6>
531) <1, 11, 2, 15>
532) <0, 15, 15, 11>
533) <1, 7, 9, 8>
534) <3, 1, 18, 2>
535) <2, 10, 3, 3>
536) <2, 2, 14, 17>
537) <1, 8, 10, 15>
538) <1, 7, 19, 8>
539) <3, 1, 13, 8>
540) <2, 10, 9, 16>
541) <0, 6, 3, 13>
542) <3, 3, 13, 3>
543) <1, 3, 16, 12>
544) <0, 10, 19, 2>
545) <1, 6, 15, 11>
546) <1, 4, 9, 17>
547) <0, 7, 4, 7>
548) <3, 8, 14, 8>
549) <0, 7, 11, 5>
550) <2, 14, 18, 4>
551) <1, 9, 6, 2>
552) <1, 0, 14, 7>
553) <2, 14, 16, 8>
554) <3, 1, 4, 4>
555) <0, 15, 2, 16>
556) <1, 23, 15, 11>
557) <1, 21, 6, 8>
558) <3, 4, 10, 9>
559) <2, 18, 1, 16>
560) <1, 5, 1, 12>
561) <0, 10, 11, 12>
562) <0, 10, 7, 9>
563) <3, 6, 16, 1>
564) <1, 1, 2, 15>
565) <1, 10, 1, 5>
566) <0, 18, 12, 16>
567) <3, 8, 2, 17>
568) <0, 21, 19, 17>
569) <2, 10, 8, 7>
570) <1, 0, 14, 5>
571) <0, 0, 5, 6>
572) <1, 19, 11, 16>
573) <0, 24, 19, 17>
574) <3, 19, 3, 11>
575) <1, 21, 6, 11>
576) <2, 20, 18, 13>
577) <0, 11, 18, 6>
578) <1, 19, 10, 2>
579) <3, 7, 18, 1>
580) <2, 4, 7, 19>
581) <1, 4, 7, 13>
582) <3, 10, 2, 5>
583) <0, 15, 6, 3>
584) <2, 10, 6, 7>
585) <3, 4, 11, 18>
586) <1, 8, 10, 9>
587) <0, 19, 0, 12>
588) <2, 8, 1, 17>
589) <3, 13, 8, 3>
590) <3, 8, 18, 20>
591) <3, 20, 14, 2>
592) <2, 22, 7, 18>
593) <1, 11, 14, 11>
594) <0, 7, 18, 18>
595) <2, 3, 0, 9>
596) <2, 16, 4, 6>
597) <2, 15, 19, 14>
598) <0, 8, 4, 4>
599) <3, 10, 5, 10>
600) <3, 19, 6, 13>
601) <3, 18, 2, 1>
602) <2, 20, 9, 9>
603) <2, 24, 16, 18>
604) <2, 16, 14, 5>
605) <2, 4, 9, 19>
606) <0, 4, 1, 20>
607) <0, 18, 0, 20>
608) <3, 6, 3, 19>
609) <3, 5, 10, 2>
610) <1, 11, 9, 9>
611) <0, 11, 17, 16>
612) <3, 8, 19, 10>
613) <1, 14, 7, 14>
614) <3, 5, 4, 12>
615) <3, 9, 11, 15>
616) <3, 1, 4, 3>
617) <0, 7, 16, 2>
618) <2, 0, 1, 12>
619) <3, 10, 6, 15>
620) <2, 17, 15, 4>
621) <2, 7, 17, 14>
622) <3, 13, 17, 15>
623) <2, 5, 0, 2>
624) <2, 14, 15, 19>
625) <3, 6, 12, 3>
626) <1, 20, 5, 5>
627) <0, 13, 11, 3>
628) <0, 6, 5, 12>
629) <1, 24, 4, 17>
630) <0, 11, 10, 19>
631) <1, 2, 19, 9>
632) <2, 16, 18, 3>
633) <2, 17, 4, 20>
634) <0, 11, 15, 17>
635) <0, 6, 18, 17>
636) <1, 10, 7, 15>
637) <2, 19, 10, 3>
638) <1, 7, 0, 12>
639) <2, 21, 19, 5>
640) <1, 14, 6, 20>
641) <0, 7, 10, 13>
642) <3, 11, 8, 20>
643) <0, 18, 16, 18>
644) <1, 0, 3, 16>
645) <3, 0, 9, 18>
646) <1, 9, 0, 16>
647) <0, 6, 0, 3>
648) <0, 21, 13, 17>
649) <1, 14, 8, 5>
650) <2, 23, 4, 15>
651) <2, 22, 4, 13>
652) <3, 17, 19, 20>
653) <1, 9, 8, 15>
654) <2, 3, 10, 16>
655) <3, 0, 9, 12>
656) <0, 17, 8, 18>
657) <2, 18, 14, 9>
658) <1, 23, 3, 8>
659) <2, 7, 11, 10>
660) <2, 3, 0, 12>
661) <0, 13, 6, 7>
662) <0, 1, 1, 8>
663) <2, 22, 19, 7>
664) <1, 24, 4, 4>
665) <3, 8, 12, 9>
666) <0, 12, 16, 11>
667) <2, 14, 11, 13>
668) <2, 17, 4, 7>
669) <0, 22, 13, 10>
670) <2, 11, 8, 17>
671) <1, 12, 2, 7>
672) <2, 8, 9, 19>
673) <0, 6, 6, 9>
674) <0, 24, 18, 15>
675) <2, 12, 19, 17>
676) <2, 10, 15, 15>
677) <1, 10, 15, 8>
678) <2, 14, 3, 16>
679) <3, 12, 13, 3>
680) <0, 8, 0, 9>
681) <0, 21, 9, 18>
682) <1, 9, 3, 8>
683) <1, 17, 3, 16>
684) <1, 10, 2, 7>
685) <2, 22, 13, 18>
686) <1, 3, 4, 18>
687) <2, 8, 19, 7>
688) <1, 9, 6, 10>
689) <1, 10, 6, 11>
690) <3, 2, 17, 17>
691) <0, 13, 12, 15>
692) <3, 6, 0, 15>
693) <3, 6, 3, 18>
694) <2, 14, 14, 13>
695) <1, 18, 18, 3>
696) <0, 5, 4, 14>
697) <0, 2, 4, 8>
698) <0, 11, 16, 2>
699) <2, 23, 7, 11>
700) <2, 14, 16, 10>
701) <1, 11, 6, 1>
702) <2, 12, 12, 13>
703) <1, 3, 6, 2>
704) <0, 0, 7, 13>
705) <1, 21, 0, 18>
706) <0, 23, 10, 12>
707) <0, 12, 13, 15>
708) <1, 11, 3, 15>
709) <0, 17, 14, 7>
710) <2, 14, 18, 5>
711) <2, 0, 17, 3>
712) <3, 4, 14, 1>
713) <3, 21, 10, 1>
714) <2, 0, 3, 3>
715) <2, 13, 16, 20>
716) <1, 12, 13, 6>
717) <2, 23, 11, 1>
718) <3, 7, 4, 10>
719) <3, 2, 3, 7>
720) <2, 12, 7, 15>
721) <0, 9, 6, 11>
722) <1, 19, 5, 12>
723) <1, 23, 10, 19>
724) <1, 14, 3, 20>
725) <0, 11, 12, 4>
726) <0, 1, 12, 8>
727) <2, 17, 6, 18>
728) <0, 8, 11, 13>
729) <2, 17, 15, 16>
730) <2, 0, 7, 8>
731) <1, 2, 17, 20>
732) <1, 17, 10, 18>
733) <2, 2, 0, 8>
734) <3, 19, 6, 2>
735) <3, 17, 18, 9>
736) <1, 21, 0, 12>
737) <2, 12, 19, 1>
738) <3, 11, 19, 14>
739) <3, 11, 4, 10>
740) <0, 24, 6, 20>
741) <1, 2, 18, 1>
742) <3, 9, 13, 16>
743) <1, 24, 3, 19>
744) <1, 15, 2, 9>
745) <3, 11, 8, 3>
746) <3, 0, 15, 3>
747) <0, 6, 11, 18>
748) <2, 13, 16, 8>
749) <1, 9, 19, 1>
750) <2, 22, 7, 12>
751) <0, 7, 10, 15>
752) <2, 17, 2, 14>
753) <1, 2, 7, 13>
754) <2, 5, 14, 12>
755) <2, 13, 0, 5>
756) <0, 13, 3, 6>
757) <2, 9, 17, 5>
758) <3, 15, 16, 16>
759) <3, 6, 9, 18>
760) <2, 8, 2, 4>
761) <2, 0, 15, 13>
762) <1, 21, 15, 12>
763) <3, 20, 8, 20>
764) <3, 23, 16, 18>
765) <2, 1, 2, 6>
766) <3, 0, 0, 11>
767) <0, 22, 8, 19>
768) <1, 15, 1, 16>
769) <0, 18, 0, 18>
770) <1, 0, 1, 14>
771) <3, 4, 4, 19>
772) <0, 8, 16, 11>
773) <3, 20, 7, 11>
774) <0, 0, 0, 1>
775) <2, 5, 18, 12>
776) <3, 24, 19, 4>
777) <3, 19, 1, 13>
778) <2, 4, 17, 10>
779) <3, 12, 8, 8>
780) <3, 21, 10, 15>
781) <2, 4, 16, 19>
782) <1, 21, 18, 16>
783) <1, 8, 7, 1>
784) <3, 18, 15, 19>
785) <1, 3, 10, 16>
786) <2, 8, 5, 18>
787) <2, 10, 17, 10>
788) <1, 7, 3, 20>
789) <0, 4, 9, 19>
790) <3, 7, 13, 17>
791) <3, 12, 8, 15>
792) <2, 1, 4, 20>
793) <0, 21, 15, 20>
794) <2, 12, 8, 9>
795) <1, 15, 17, 11>
796) <0, 22, 9, 2>
797) <3, 18, 11, 4>
798) <1, 6, 11, 5>
799) <1, 2, 10, 12>
800) <0, 1, 3, 5>
801) <0, 5, 15, 20>
802) <2, 9, 19, 12>
803) <1, 9, 13, 15>
804) <1, 2, 15, 18>
805) <0, 16, 0, 2>
806) <2, 11, 5, 4>
807) <3, 17, 7, 4>
808) <1, 22, 0, 18>
809) <0, 7, 16, 19>
810) <3, 8, 9, 14>
811) <1, 12, 7, 11>
812) <0, 4, 7, 1>
813) <0, 9, 1, 7>
814) <3, 13, 2, 19>
815) <1, 14, 2, 11>
816) <3, 14, 7, 8>
817) <1, 16, 5, 6>
818) <0, 6, 18, 2>
819) <0, 0, 11, 9>
820) <3, 6, 8, 12>
821) <2, 19, 17, 14>
822) <3, 16, 12, 17>
823) <0, 11, 6, 16>
824) <0, 10, 14, 14>
825) <1, 4, 18, 18>
826) <1, 21, 18, 18>
827) <1, 12, 5, 5>
828) <1, 0, 7, 16>
829) <2, 5, 9, 6>
830) <0, 3, 13, 2>
831) <3, 14, 16, 12>
832) <1, 16, 4, 11>
833) <2, 5, 8, 1>
834) <3, 1, 9, 18>
835) <0, 15, 1, 14>
836) <0, 14, 9, 20>
837) <2, 20, 16, 15>
838) <3, 20, 15, 15>
839) <1, 4, 5, 19>
840) <3, 21, 9, 10>
841) <0, 2, 9, 1>
842) <3, 24, 17, 17>
843) <2, 13, 1, 19>
844) <3, 2, 9, 6>
845) <0, 21, 12, 8>
846) <0, 22, 1, 18>
847) <3, 18, 16, 19>
848) <0, 12, 8, 17>
849) <2, 24, 16, 2>
850) <0, 5, 9, 7>
851) <0, 1, 17, 16>
852) <1, 1, 13, 11>
853) <0, 0, 9, 9>
854) <0, 18, 18, 17>
855) <1, 11, 6, 2>
856) <3, 19, 10, 10>
857) <0, 18, 2, 17>
858) <0, 7, 3, 1>
859) <3, 15, 7, 13>
860) <2, 0, 2, 4>
861) <1, 4, 3, 11>
862) <3, 1, 18, 9>
863) <3, 4, 2, 3>
864) <3, 7, 11, 8>
865) <2, 16, 3, 7>
866) <2, 8, 18, 18>
867) <2, 23, 9, 10>
868) <2, 4, 12, 17>
869) <0, 22, 18, 16>
870) <1, 8, 3, 17>
871) <0, 2, 11, 16>
872) <1, 4, 14, 13>
873) <0, 10, 10, 11>
874) <0, 16, 7, 12>
875) <3, 14, 0, 10>
876) <1, 4, 17, 14>
877) <3, 22, 8, 13>
878) <3, 23, 1, 13>
879) <1, 17, 19, 3>
880) <2, 4, 6, 20>
881) <0, 19, 9, 5>
882) <2, 24, 15, 2>
883) <2, 22, 2, 4>
884) <3, 12, 8, 8>
885) <3, 21, 11, 20>
886) <3, 2, 11, 5>
887) <0, 5, 7, 4>
888) <0, 15, 2, 13>
889) <2, 3, 9, 17>
890) <0, 21, 17, 15>
891) <0, 17, 9, 20>
892) <0, 17, 18, 8>
893) <1, 22, 6, 18>
894) <2, 2, 1, 12>
895) <0, 0, 6, 17>
896) <2, 5, 9, 1>
897) <3, 13, 17, 1>
898) <2, 21, 6, 11>
899) <2, 16, 2, 7>
900) <1, 17, 14, 12>
901) <2, 2, 0, 2>
902) <2, 3, 4, 11>
903) <2, 5, 6, 13>
904) <2, 12, 12, 18>
905) <1, 21, 9, 1>
906) <0, 1, 2, 11>
907) <0, 24, 9, 10>
908) <1, 0, 0, 4>
909) <3, 20, 4, 10>
910) <2, 13, 19, 1>
911) <2, 13, 12, 13>
912) <1, 1, 2, 12>
913) <2, 21, 3, 11>
914) <3, 7, 12, 12>
915) <2, 16, 1, 4>
916) <0, 3, 18, 17>
917) <2, 13, 5, 13>
918) <3, 7, 12, 7>
919) <3, 11, 18, 1>
920) <0, 17, 3, 3>
921) <0, 13, 12, 4>
922) <0, 15, 7, 3>
923) <2, 3, 17, 8>
924) <1, 0, 3, 20>
925) <2, 3, 11, 7>
926) <1, 20, 12, 13>
927) <3, 7, 5, 17>
928) <3, 3, 18, 20>
929) <3, 18, 14, 8>
930) <0, 11, 1, 11>
